Product_Category,Avg_Purchase,Transaction_Count,Total_Revenue,Unique_Customers,Service_Priority
1,13606.218595506418,140378,1910013754,5767,VIP
2,11251.93538384177,23864,268516186,4296,VIP
3,10096.705733933608,20213,204084713,3838,VIP
4,2329.6594911937377,11753,27380488,3361,Premium
5,6240.088178198273,150933,941835229,5751,VIP
6,15838.478549789896,20466,324150302,4085,VIP
7,16365.689599570009,3721,60896731,1461,Premium
8,7498.958077682686,113925,854318799,5659,VIP
9,15537.375609756098,410,6370324,410,Standard
10,19675.570926829267,5125,100837301,2328,Premium
11,4685.268456375839,24287,113791115,3583,Premium
12,1350.8598935900684,3947,5331844,1567,Standard
13,722.4006127230132,5549,4008601,2272,Standard
14,13141.62573867367,1523,20014696,971,Premium
15,14780.451828298887,6290,92969042,2440,Premium
16,14766.037037037036,9828,145120612,3130,VIP
17,10170.759515570935,578,5878699,426,Standard
18,2972.86432,3125,9290201,1284,Standard
19,37.04179663131628,1603,59378,1603,Standard
20,370.48117647058825,2550,944727,2550,Standard
